Yaşınız,Cinsiyyetiniz,Şu anki stres durumunuz nedir ?,Aile evinde mi yaşıyorsunuz ?,Ailenizde sigara içen biri(leri) var mı?,Alkol kullanıyor musunuz?,Haftada kaç kez sosyalleşirsiniz / dışarı çıkıyorsunuz?,Yakın arkadaş çevrenizin çoğunluğu sigara içiyor mu?,Herhangi bir akciğer hastalığınız var mı?,Ergenlik döneminde hiç sigara içtiniz mi?,Şu an aktif olarak sigara kullanıyor musunuz?
21,Erkek,3,Evet,Hayır,Hayır,0-2,Evet,Hayır,Evet,Evet
23,Erkek,3,Evet,Evet,Evet,3-5,Evet,Hayır,Evet,Evet
21,Erkek,1,Hayır,Evet,Hayır,3-5,Hayır,Hayır,Hayır,Hayır
21,Kadın,4,Hayır,Hayır,Evet,3-5,Hayır,Hayır,Evet,Hayır
22,Kadın,4,Evet,Evet,Hayır,0-2,Evet,Hayır,Hayır,Hayır
22,Erkek,3,Hayır,Evet,Evet,3-5,Evet,Hayır,Evet,Evet
21,Kadın,3,Evet,Evet,Evet,3-5,Evet,Hayır,Evet,Evet
24,Erkek,4,Evet,Hayır,Evet,3-5,Evet,Hayır,Evet,Hayır
23,Erkek,5,Evet,Hayır,Evet,3-5,Evet,Hayır,Hayır,Evet
21,Kadın,4,Evet,Hayır,Evet,3-5,Evet,Hayır,Evet,Evet
21,Erkek,4,Hayır,Hayır,Evet,3-5,Evet,Hayır,Hayır,Evet
23,Kadın,4,Hayır,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
26,Erkek,2,Hayır,Evet,Hayır,0-2,Evet,Hayır,Evet,Hayır
22,Erkek,2,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
21,Erkek,3,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
20,Erkek,4,Hayır,Hayır,Evet,0-2,Evet,Hayır,Hayır,Hayır
19,Erkek,3,Evet,Evet,Evet,0-2,Evet,Hayır,Hayır,Hayır
21,Erkek,4,Evet,Evet,Evet,6-7,Evet,Hayır,Evet,Evet
22,Kadın,5,Evet,Evet,Evet,3-5,Evet,Hayır,Hayır,Hayır
25,Erkek,4,Hayır,Evet,Hayır,3-5,Evet,Hayır,Evet,Evet
24,Kadın,4,Evet,Evet,Hayır,3-5,Evet,Hayır,Hayır,Evet
22,Erkek,5,Evet,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
21,Erkek,1,Evet,Evet,Evet,0-2,Evet,Hayır,Hayır,Hayır
19,Erkek,4,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
26,Erkek,5,Hayır,Hayır,Evet,0-2,Evet,Hayır,Hayır,Hayır
23,Erkek,3,Hayır,Evet,Evet,0-2,Hayır,Hayır,Hayır,Evet
22,Erkek,3,Evet,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
20,Erkek,4,Hayır,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
23,Erkek,5,Hayır,Hayır,Evet,3-5,Evet,Hayır,Hayır,Evet
21,Erkek,5,Evet,Evet,Evet,0-2,Evet,Hayır,Hayır,Hayır
22,Erkek,4,Hayır,Evet,Evet,0-2,Evet,Hayır,Hayır,Hayır
19,Erkek,3,Evet,Hayır,Evet,3-5,Hayır,Hayır,Evet,Hayır
21,Erkek,4,Evet,Hayır,Hayır,0-2,Evet,Hayır,Evet,Evet
23,Erkek,5,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
20,Kadın,2,Evet,Evet,Evet,6-7,Hayır,Hayır,Hayır,Hayır
21,Erkek,5,Evet,Evet,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
23,Erkek,5,Hayır,Hayır,Hayır,0-2,Evet,Hayır,Hayır,Hayır
22,Erkek,1,Evet,Hayır,Hayır,3-5,Hayır,Hayır,Hayır,Hayır
23,Erkek,5,Hayır,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
31,Erkek,3,Evet,Hayır,Hayır,6-7,Hayır,Hayır,Hayır,Hayır
34,Erkek,3,Evet,Hayır,Hayır,6-7,Hayır,Hayır,Hayır,Hayır
22,Erkek,4,Evet,Hayır,Evet,0-2,Evet,Hayır,Evet,Hayır
22,Erkek,3,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
20,Erkek,5,Hayır,Hayır,Evet,0-2,Evet,Evet,Hayır,Hayır
23,Kadın,2,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
24,Kadın,5,Evet,Evet,Hayır,3-5,Hayır,Hayır,Evet,Hayır
23,Erkek,3,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
24,Erkek,4,Hayır,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
23,Erkek,2,Hayır,Hayır,Hayır,6-7,Hayır,Hayır,Hayır,Hayır
25,Erkek,2,Hayır,Evet,Evet,0-2,Evet,Hayır,Hayır,Evet
22,Kadın,3,Evet,Hayır,Evet,0-2,Evet,Hayır,Evet,Hayır
18,Erkek,4,Evet,Evet,Evet,6-7,Evet,Hayır,Evet,Evet
23,Kadın,5,Hayır,Hayır,Hayır,3-5,Evet,Hayır,Evet,Evet
21,Erkek,5,Evet,Hayır,Hayır,0-2,Evet,Hayır,Hayır,Hayır
21,Erkek,3,Evet,Evet,Evet,0-2,Evet,Hayır,Evet,Evet
25,Erkek,5,Evet,Hayır,Hayır,3-5,Hayır,Hayır,Hayır,Hayır
21,Erkek,5,Evet,Hayır,Evet,3-5,Evet,Hayır,Evet,Evet
21,Erkek,5,Evet,Evet,Hayır,0-2,Evet,Hayır,Evet,Evet
24,Erkek,4,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
23,Erkek,1,Evet,Hayır,Evet,3-5,Hayır,Hayır,Hayır,Hayır
23,Erkek,3,Hayır,Hayır,Evet,6-7,Hayır,Hayır,Hayır,Evet
25,Erkek,2,Hayır,Evet,Evet,3-5,Hayır,Hayır,Hayır,Evet
24,Erkek,4,Evet,Evet,Evet,3-5,Evet,Hayır,Hayır,Evet
30,Kadın,5,Evet,Hayır,Evet,3-5,Hayır,Hayır,Evet,Hayır
27,Erkek,4,Hayır,Evet,Evet,3-5,Hayır,Hayır,Evet,Evet
26,Kadın,4,Hayır,Evet,Hayır,0-2,Evet,Hayır,Hayır,Hayır
27,Erkek,4,Evet,Hayır,Evet,0-2,Hayır,Hayır,Hayır,Hayır
18,Erkek,2,Evet,Evet,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
20,Erkek,2,Hayır,Evet,Evet,6-7,Evet,Hayır,Hayır,Hayır
26,Erkek,5,Evet,Evet,Hayır,3-5,Evet,Hayır,Hayır,Hayır
26,Erkek,4,Hayır,Evet,Hayır,3-5,Hayır,Hayır,Hayır,Hayır
24,Erkek,5,Evet,Evet,Evet,0-2,Evet,Hayır,Hayır,Evet
35,Erkek,2,Hayır,Hayır,Evet,3-5,Evet,Hayır,Hayır,Evet
28,Erkek,4,Evet,Hayır,Hayır,6-7,Evet,Hayır,Hayır,Hayır
24,Kadın,4,Evet,Evet,Evet,0-2,Hayır,Hayır,Evet,Hayır
27,Erkek,4,Hayır,Hayır,Evet,0-2,Evet,Hayır,Evet,Evet
20,Erkek,3,Evet,Evet,Hayır,0-2,Evet,Hayır,Hayır,Hayır
34,Erkek,5,Evet,Hayır,Hayır,0-2,Evet,Hayır,Evet,Hayır
26,Erkek,5,Evet,Evet,Hayır,6-7,Evet,Hayır,Hayır,Hayır
23,Erkek,4,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Evet,Hayır
23,Erkek,3,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
23,Erkek,2,Evet,Hayır,Hayır,0-2,Hayır,Hayır,Hayır,Hayır
